Customer ID,Product Category,Recommendation Score
0001f06a-bd9a-4888-9cf9-0a094a15eaf2,Affiliates,0.0
0001f06a-bd9a-4888-9cf9-0a094a15eaf2,Electronics,0.0
0001f06a-bd9a-4888-9cf9-0a094a15eaf2,Furniture,0.0
0001f06a-bd9a-4888-9cf9-0a094a15eaf2,GiftCard,0.0
0001f06a-bd9a-4888-9cf9-0a094a15eaf2,Home,0.0
00053812-fb74-4294-a9d1-5167c5a36c7d,Affiliates,0.0
00053812-fb74-4294-a9d1-5167c5a36c7d,Books & General merchandise,0.0
00053812-fb74-4294-a9d1-5167c5a36c7d,Furniture,0.0
00053812-fb74-4294-a9d1-5167c5a36c7d,Electronics,0.0
00053812-fb74-4294-a9d1-5167c5a36c7d,GiftCard,0.0
00064265-7bc3-4627-8e36-6e60a4895343,Affiliates,0.0
00064265-7bc3-4627-8e36-6e60a4895343,Books & General merchandise,0.0
00064265-7bc3-4627-8e36-6e60a4895343,Furniture,0.0
00064265-7bc3-4627-8e36-6e60a4895343,Electronics,0.0
00064265-7bc3-4627-8e36-6e60a4895343,GiftCard,0.0
000ae1d4-2195-4ce2-a1d0-a2cca854ea06,Affiliates,0.0
000ae1d4-2195-4ce2-a1d0-a2cca854ea06,Books & General merchandise,0.0
000ae1d4-2195-4ce2-a1d0-a2cca854ea06,Furniture,0.0
000ae1d4-2195-4ce2-a1d0-a2cca854ea06,GiftCard,0.0
000ae1d4-2195-4ce2-a1d0-a2cca854ea06,Home,0.0
000e96b5-b38e-4195-8a5c-c2593ef7a6fc,Affiliates,0.0
000e96b5-b38e-4195-8a5c-c2593ef7a6fc,Books & General merchandise,0.0
000e96b5-b38e-4195-8a5c-c2593ef7a6fc,Furniture,0.0
000e96b5-b38e-4195-8a5c-c2593ef7a6fc,GiftCard,0.0
000e96b5-b38e-4195-8a5c-c2593ef7a6fc,Home,0.0
001701cb-e79e-4007-b73c-462e7e2b3906,Affiliates,0.0
001701cb-e79e-4007-b73c-462e7e2b3906,Books & General merchandise,0.0
001701cb-e79e-4007-b73c-462e7e2b3906,Furniture,0.0
001701cb-e79e-4007-b73c-462e7e2b3906,Electronics,0.0
001701cb-e79e-4007-b73c-462e7e2b3906,GiftCard,0.0
001dc5b3-fad7-4397-9087-8af97c2d2921,Affiliates,0.0
001dc5b3-fad7-4397-9087-8af97c2d2921,Books & General merchandise,0.0
001dc5b3-fad7-4397-9087-8af97c2d2921,Furniture,0.0
001dc5b3-fad7-4397-9087-8af97c2d2921,Electronics,0.0
001dc5b3-fad7-4397-9087-8af97c2d2921,GiftCard,0.0
0025c523-f9dd-4fe0-a486-c032996032d4,Affiliates,0.0
0025c523-f9dd-4fe0-a486-c032996032d4,Books & General merchandise,0.0
0025c523-f9dd-4fe0-a486-c032996032d4,Electronics,0.0
0025c523-f9dd-4fe0-a486-c032996032d4,GiftCard,0.0
0025c523-f9dd-4fe0-a486-c032996032d4,Home,0.0
002d738f-6c80-41be-8afd-c118b162feea,Affiliates,0.0
002d738f-6c80-41be-8afd-c118b162feea,Books & General merchandise,0.0
002d738f-6c80-41be-8afd-c118b162feea,Furniture,0.0
002d738f-6c80-41be-8afd-c118b162feea,Electronics,0.0
002d738f-6c80-41be-8afd-c118b162feea,GiftCard,0.0
0030d5c3-4d55-4fc9-b776-4b78210b5d2e,Affiliates,0.0
0030d5c3-4d55-4fc9-b776-4b78210b5d2e,Books & General merchandise,0.0
0030d5c3-4d55-4fc9-b776-4b78210b5d2e,Furniture,0.0
0030d5c3-4d55-4fc9-b776-4b78210b5d2e,Electronics,0.0
0030d5c3-4d55-4fc9-b776-4b78210b5d2e,GiftCard,0.0
